States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,visakhapatnam,2021,3,TOTAL,69220981,136945652159.26515
andhra-pradesh,prakasam,2021,3,TOTAL,24116580,63367713446.928055
andhra-pradesh,anantapur,2021,3,TOTAL,30366444,70291248155.64975
andhra-pradesh,ysr,2021,3,TOTAL,22439316,60683557724.652336
andhra-pradesh,west godavari,2021,3,TOTAL,26245039,66647238455.1675
andhra-pradesh,kurnool,2021,3,TOTAL,26377809,62527453761.59807
andhra-pradesh,chittoor,2021,3,TOTAL,42628568,89371931753.04831
andhra-pradesh,guntur,2021,3,TOTAL,41675093,96525353090.12305
andhra-pradesh,krishna,2021,3,TOTAL,44828275,104417897558.58972
andhra-pradesh,east godavari,2021,4,TOTAL,48992531,106725597026.00356
andhra-pradesh,srikakulam,2021,4,TOTAL,18501857,39713657870.15512
andhra-pradesh,spsr nellore,2021,4,TOTAL,41921081,92256405076.26547
andhra-pradesh,vizianagaram,2021,4,TOTAL,17253059,36577529464.9687
andhra-pradesh,visakhapatnam,2021,4,TOTAL,82711538,159530099772.73474
andhra-pradesh,prakasam,2021,4,TOTAL,27858275,71323060008.47623
andhra-pradesh,anantapur,2021,4,TOTAL,36129136,81239787006.64764
andhra-pradesh,ysr,2021,4,TOTAL,26340348,69081850069.2033
andhra-pradesh,west godavari,2021,4,TOTAL,33235175,81292461575.08182
andhra-pradesh,kurnool,2021,4,TOTAL,31782248,73968947669.64754
andhra-pradesh,chittoor,2021,4,TOTAL,51119640,103985734663.73514
andhra-pradesh,guntur,2021,4,TOTAL,50919286,115553993673.17337
andhra-pradesh,krishna,2021,4,TOTAL,55489829,125015323207.89836
andhra-pradesh,east godavari,2022,1,TOTAL,54738830,121067103712.79568
andhra-pradesh,srikakulam,2022,1,TOTAL,20990782,46898912115.649216
andhra-pradesh,spsr nellore,2022,1,TOTAL,47645702,104895571602.13988
andhra-pradesh,vizianagaram,2022,1,TOTAL,19278262,41994853361.58879
andhra-pradesh,visakhapatnam,2022,1,TOTAL,88233362,170120350591.26004
andhra-pradesh,prakasam,2022,1,TOTAL,31340975,79494373254.71565
andhra-pradesh,anantapur,2022,1,TOTAL,40613148,90197023268.43825
andhra-pradesh,ysr,2022,1,TOTAL,29783739,78421693518.90942
andhra-pradesh,west godavari,2022,1,TOTAL,37271259,92397939903.60938
andhra-pradesh,kurnool,2022,1,TOTAL,35093633,81568420500.54749
andhra-pradesh,chittoor,2022,1,TOTAL,58561024,117900595508.634
andhra-pradesh,guntur,2022,1,TOTAL,57226996,129673727687.08942
andhra-pradesh,krishna,2022,1,TOTAL,61826199,139690081529.49048
andhra-pradesh,east godavari,2022,2,TOTAL,62072845,135531452997.6391
andhra-pradesh,srikakulam,2022,2,TOTAL,23727353,53754764122.4327
andhra-pradesh,spsr nellore,2022,2,TOTAL,54838708,121941082043.49483
andhra-pradesh,vizianagaram,2022,2,TOTAL,21766135,47294745020.495636
andhra-pradesh,visakhapatnam,2022,2,TOTAL,101387402,193242841582.14285
andhra-pradesh,prakasam,2022,2,TOTAL,36163507,90435082545.97766
andhra-pradesh,anantapur,2022,2,TOTAL,46099366,102138758015.76915
