States,Pincodes,Transaction_Year,Quarters,registeredUsers
assam,dhubri,2020,1,17121
assam,kamrup metropolitan,2020,2,36494
assam,nagaon,2020,2,29237
assam,barpeta,2020,2,26634
assam,cachar,2020,2,23439
assam,sonitpur,2020,2,22873
assam,dibrugarh,2020,2,21654
assam,kamrup,2020,2,21271
assam,tinsukia,2020,2,20738
assam,jorhat,2020,2,19800
assam,dhubri,2020,2,19046
assam,kamrup metropolitan,2020,3,39646
assam,nagaon,2020,3,31853
assam,barpeta,2020,3,29045
assam,cachar,2020,3,25600
assam,dibrugarh,2020,3,25150
assam,sonitpur,2020,3,23762
assam,kamrup,2020,3,23212
assam,tinsukia,2020,3,22736
assam,jorhat,2020,3,20913
assam,dhubri,2020,3,20809
assam,kamrup metropolitan,2020,4,43335
assam,nagaon,2020,4,34873
assam,barpeta,2020,4,31894
assam,cachar,2020,4,27985
assam,dibrugarh,2020,4,27308
assam,sonitpur,2020,4,26044
assam,kamrup,2020,4,25298
assam,tinsukia,2020,4,24846
assam,jorhat,2020,4,22952
assam,dhubri,2020,4,22802
assam,kamrup metropolitan,2021,1,46783
assam,nagaon,2021,1,37652
assam,barpeta,2021,1,34483
assam,cachar,2021,1,30260
assam,sonitpur,2021,1,29414
assam,dibrugarh,2021,1,28064
assam,kamrup,2021,1,27259
assam,tinsukia,2021,1,26762
assam,jorhat,2021,1,24813
assam,dhubri,2021,1,24658
assam,kamrup metropolitan,2021,2,49999
assam,nagaon,2021,2,40254
assam,barpeta,2021,2,36847
assam,cachar,2021,2,32353
assam,dibrugarh,2021,2,31551
assam,sonitpur,2021,2,30045
assam,kamrup,2021,2,29194
assam,tinsukia,2021,2,28664
assam,jorhat,2021,2,26557
assam,dhubri,2021,2,26455
assam,kamrup metropolitan,2021,3,53594
assam,nagaon,2021,3,43191
assam,barpeta,2021,3,39514
assam,cachar,2021,3,34724
assam,sonitpur,2021,3,34031
assam,dibrugarh,2021,3,32293
assam,kamrup,2021,3,31327
assam,tinsukia,2021,3,30785
assam,jorhat,2021,3,28639
assam,dhubri,2021,3,28555
assam,kamrup metropolitan,2021,4,57249
assam,nagaon,2021,4,46108
assam,barpeta,2021,4,42225
assam,cachar,2021,4,37135
assam,sonitpur,2021,4,36481
assam,dibrugarh,2021,4,34495
assam,kamrup,2021,4,33508
assam,tinsukia,2021,4,32892
assam,jorhat,2021,4,30729
assam,dhubri,2021,4,30534
assam,kamrup metropolitan,2022,1,60632
assam,nagaon,2022,1,48859
assam,barpeta,2022,1,44765
assam,cachar,2022,1,39366
assam,sonitpur,2022,1,38840
assam,dibrugarh,2022,1,36583
assam,kamrup,2022,1,35517
assam,tinsukia,2022,1,34879
assam,jorhat,2022,1,32753
assam,dhubri,2022,1,32414
assam,kamrup metropolitan,2022,2,63866
assam,nagaon,2022,2,51543
assam,barpeta,2022,2,47222
assam,cachar,2022,2,41519
assam,sonitpur,2022,2,41067
assam,dibrugarh,2022,2,38612
assam,kamrup,2022,2,37438
assam,tinsukia,2022,2,36760
assam,jorhat,2022,2,34642
assam,dhubri,2022,2,34231
assam,kamrup metropolitan,2022,3,67280
assam,nagaon,2022,3,54277
assam,barpeta,2022,3,49784
assam,cachar,2022,3,43745
assam,sonitpur,2022,3,43396
assam,dibrugarh,2022,3,40762
