States,District,registeredUsers,appOpens,Transaction_Year,Quarters
arunachal-pradesh,papum pare,38845,582435,2019,3
arunachal-pradesh,anjaw,1358,19509,2019,3
arunachal-pradesh,lower siang,1689,25736,2019,3
arunachal-pradesh,dibang valley,271,1436,2019,3
arunachal-pradesh,west kameng,11186,260068,2019,3
arunachal-pradesh,shi yomi,239,158,2019,3
arunachal-pradesh,east kameng,1304,19974,2019,3
arunachal-pradesh,lohit,6421,112322,2019,3
arunachal-pradesh,lepa rada,1064,13695,2019,3
arunachal-pradesh,lower dibang valley,3398,43057,2019,3
arunachal-pradesh,longding,1634,46571,2019,3
arunachal-pradesh,west siang,4101,64241,2019,3
arunachal-pradesh,kamle,258,3686,2019,3
arunachal-pradesh,upper siang,1486,8960,2019,3
arunachal-pradesh,kurung kumey,572,8396,2019,3
arunachal-pradesh,siang,948,13437,2019,3
arunachal-pradesh,kra daadi,524,11363,2019,3
arunachal-pradesh,changlang,8145,139098,2019,3
arunachal-pradesh,pakke kessang,244,5099,2019,3
arunachal-pradesh,east siang,8571,118071,2019,3
arunachal-pradesh,upper subansiri,2748,35114,2019,3
arunachal-pradesh,tawang,6553,114907,2019,3
arunachal-pradesh,namsai,4563,72268,2019,3
arunachal-pradesh,lower subansiri,3564,53396,2019,4
arunachal-pradesh,tirap,3605,67097,2019,4
arunachal-pradesh,papum pare,44746,670934,2019,4
arunachal-pradesh,anjaw,1564,23729,2019,4
arunachal-pradesh,lower siang,1921,28156,2019,4
arunachal-pradesh,dibang valley,289,1738,2019,4
arunachal-pradesh,west kameng,12562,313584,2019,4
arunachal-pradesh,shi yomi,266,880,2019,4
arunachal-pradesh,east kameng,1623,27850,2019,4
arunachal-pradesh,lohit,7386,129353,2019,4
arunachal-pradesh,lepa rada,1263,20798,2019,4
arunachal-pradesh,lower dibang valley,3944,50034,2019,4
arunachal-pradesh,longding,1847,48945,2019,4
arunachal-pradesh,west siang,4773,70790,2019,4
arunachal-pradesh,kamle,323,5098,2019,4
arunachal-pradesh,upper siang,1804,26060,2019,4
arunachal-pradesh,kurung kumey,653,7904,2019,4
arunachal-pradesh,siang,1131,19220,2019,4
arunachal-pradesh,kra daadi,603,13700,2019,4
arunachal-pradesh,changlang,9662,152680,2019,4
arunachal-pradesh,pakke kessang,296,5981,2019,4
arunachal-pradesh,east siang,9859,132534,2019,4
arunachal-pradesh,upper subansiri,3144,42354,2019,4
arunachal-pradesh,tawang,7303,139898,2019,4
arunachal-pradesh,namsai,5190,87627,2019,4
arunachal-pradesh,lower subansiri,4351,72887,2020,1
arunachal-pradesh,tirap,4261,76554,2020,1
arunachal-pradesh,papum pare,51342,819599,2020,1
arunachal-pradesh,anjaw,1747,25453,2020,1
