States,District,Transaction_Year,Quarters,registeredUsers
assam,cachar,2019,1,64241
assam,dibrugarh,2019,1,62656
assam,sonitpur,2019,1,62218
assam,kamrup,2019,1,54910
assam,tinsukia,2019,1,51108
assam,jorhat,2019,1,48594
assam,dhubri,2019,1,36652
assam,kamrup metropolitan,2019,2,299219
assam,barpeta,2019,2,80544
assam,nagaon,2019,2,79322
assam,cachar,2019,2,76533
assam,dibrugarh,2019,2,74342
assam,sonitpur,2019,2,73717
assam,kamrup,2019,2,65883
assam,tinsukia,2019,2,60548
assam,jorhat,2019,2,56713
assam,dhubri,2019,2,43396
assam,kamrup metropolitan,2019,3,340588
assam,nagaon,2019,3,100993
assam,barpeta,2019,3,92001
assam,cachar,2019,3,88048
assam,dibrugarh,2019,3,84029
assam,sonitpur,2019,3,83930
assam,kamrup,2019,3,75174
assam,tinsukia,2019,3,68999
assam,jorhat,2019,3,63858
assam,dhubri,2019,3,48953
assam,kamrup metropolitan,2019,4,373761
assam,nagaon,2019,4,114296
assam,barpeta,2019,4,103248
assam,cachar,2019,4,98890
assam,sonitpur,2019,4,93662
assam,dibrugarh,2019,4,93614
assam,kamrup,2019,4,84609
assam,tinsukia,2019,4,76944
assam,jorhat,2019,4,70809
assam,golaghat,2019,4,54950
assam,kamrup metropolitan,2020,1,412013
assam,nagaon,2020,1,129371
assam,barpeta,2020,1,116286
assam,cachar,2020,1,111470
assam,sonitpur,2020,1,105050
assam,dibrugarh,2020,1,104663
assam,kamrup,2020,1,95973
assam,tinsukia,2020,1,86763
assam,jorhat,2020,1,78731
assam,dhubri,2020,1,62477
assam,kamrup metropolitan,2020,2,457023
assam,nagaon,2020,2,151932
assam,barpeta,2020,2,135525
assam,cachar,2020,2,129067
assam,sonitpur,2020,2,121435
assam,dibrugarh,2020,2,121028
assam,kamrup,2020,2,112992
assam,tinsukia,2020,2,101864
assam,jorhat,2020,2,90601
assam,dhubri,2020,2,76285
assam,kamrup metropolitan,2020,3,499403
assam,nagaon,2020,3,168903
assam,barpeta,2020,3,150166
assam,cachar,2020,3,143851
assam,dibrugarh,2020,3,134339
assam,sonitpur,2020,3,134006
assam,kamrup,2020,3,124944
assam,tinsukia,2020,3,113239
assam,jorhat,2020,3,99517
assam,dhubri,2020,3,84816
assam,kamrup metropolitan,2020,4,546458
assam,nagaon,2020,4,185101
assam,barpeta,2020,4,164341
assam,cachar,2020,4,158821
assam,dibrugarh,2020,4,147001
assam,sonitpur,2020,4,146796
assam,kamrup,2020,4,136799
assam,tinsukia,2020,4,124067
assam,jorhat,2020,4,108380
assam,dhubri,2020,4,93699
assam,kamrup metropolitan,2021,1,589688
assam,nagaon,2021,1,200243
assam,barpeta,2021,1,177789
assam,cachar,2021,1,172056
assam,sonitpur,2021,1,158555
assam,dibrugarh,2021,1,158509
assam,kamrup,2021,1,147671
assam,tinsukia,2021,1,134067
assam,jorhat,2021,1,116616
assam,dhubri,2021,1,101643
assam,kamrup metropolitan,2021,2,630676
assam,nagaon,2021,2,215750
assam,barpeta,2021,2,191700
assam,cachar,2021,2,185350
assam,dibrugarh,2021,2,170604
assam,sonitpur,2021,2,170519
assam,kamrup,2021,2,159018
assam,tinsukia,2021,2,144571
assam,jorhat,2021,2,125247
assam,dhubri,2021,2,109873
assam,kamrup metropolitan,2021,3,677223
assam,nagaon,2021,3,233909
assam,barpeta,2021,3,207997
assam,cachar,2021,3,200721
assam,sonitpur,2021,3,184448
assam,dibrugarh,2021,3,184280
assam,kamrup,2021,3,172652
assam,tinsukia,2021,3,156657
assam,jorhat,2021,3,135179
assam,dhubri,2021,3,119554
assam,kamrup metropolitan,2021,4,723960
assam,nagaon,2021,4,251340
assam,barpeta,2021,4,223375
assam,cachar,2021,4,215876
assam,sonitpur,2021,4,198091
assam,dibrugarh,2021,4,197521
assam,kamrup,2021,4,185421
assam,tinsukia,2021,4,168240
assam,jorhat,2021,4,145111
assam,dhubri,2021,4,128621
assam,kamrup metropolitan,2022,1,767859
assam,nagaon,2022,1,268636
assam,barpeta,2022,1,238871
assam,cachar,2022,1,230089
assam,sonitpur,2022,1,211236
assam,dibrugarh,2022,1,210525
assam,kamrup,2022,1,198189
assam,tinsukia,2022,1,179301
assam,jorhat,2022,1,154589
assam,dhubri,2022,1,137698
assam,kamrup metropolitan,2022,2,810057
assam,nagaon,2022,2,284558
assam,barpeta,2022,2,253194
assam,cachar,2022,2,243727
assam,sonitpur,2022,2,223514
assam,dibrugarh,2022,2,222494
assam,kamrup,2022,2,210048
assam,tinsukia,2022,2,189633
assam,jorhat,2022,2,163307
assam,dhubri,2022,2,146304
assam,kamrup metropolitan,2022,3,854019
