Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Others,arunachal-pradesh,2022,4,TOTAL,4838,4020773.8953960314
Recharge & bill payments,assam,2018,1,TOTAL,632092,93491181.14056379
Peer-to-peer payments,assam,2018,1,TOTAL,318025,993525195.9818655
Merchant payments,assam,2018,1,TOTAL,40482,34501622.89266755
Financial Services,assam,2018,1,TOTAL,18172,4936862.200688562
Others,assam,2018,1,TOTAL,48110,31349593.99668264
Recharge & bill payments,assam,2018,2,TOTAL,984160,174427478.21340805
Peer-to-peer payments,assam,2018,2,TOTAL,530781,2064314053.1339972
Merchant payments,assam,2018,2,TOTAL,79307,73366344.80739225
Financial Services,assam,2018,2,TOTAL,22773,7051504.657611102
Others,assam,2018,2,TOTAL,46852,31425754.725386057
Recharge & bill payments,assam,2018,3,TOTAL,1275136,254569069.32411742
Peer-to-peer payments,assam,2018,3,TOTAL,843571,3424136709.5088205
Merchant payments,assam,2018,3,TOTAL,159532,96783839.37466942
Financial Services,assam,2018,3,TOTAL,22677,4741123.821880115
Others,assam,2018,3,TOTAL,50935,30904247.884785894
Recharge & bill payments,assam,2018,4,TOTAL,1703488,317661277.3470997
Peer-to-peer payments,assam,2018,4,TOTAL,1279089,5284776455.070784
Merchant payments,assam,2018,4,TOTAL,667293,240563395.2777939
Financial Services,assam,2018,4,TOTAL,28035,6331912.52655252
Others,assam,2018,4,TOTAL,56267,38689818.79087821
Recharge & bill payments,assam,2019,1,TOTAL,1993220,400281677.94382846
Peer-to-peer payments,assam,2019,1,TOTAL,1976310,7291433300.700247
Merchant payments,assam,2019,1,TOTAL,494871,266644645.74929428
Financial Services,assam,2019,1,TOTAL,20162,4612454.1127945455
Others,assam,2019,1,TOTAL,48442,39127457.944687635
Recharge & bill payments,assam,2019,2,TOTAL,2512932,539315772.8606573
Peer-to-peer payments,assam,2019,2,TOTAL,2293770,10035232820.852964
Merchant payments,assam,2019,2,TOTAL,573646,326844709.5879724
Financial Services,assam,2019,2,TOTAL,13654,4037222.414240564
Others,assam,2019,2,TOTAL,60927,49538663.41037582
Peer-to-peer payments,assam,2019,3,TOTAL,2713539,11835800855.176552
Recharge & bill payments,assam,2019,3,TOTAL,2645302,639885372.7480905
Merchant payments,assam,2019,3,TOTAL,513728,421380275.4207429
Financial Services,assam,2019,3,TOTAL,8606,6403456.344768786
Others,assam,2019,3,TOTAL,61396,46973660.73634353
Peer-to-peer payments,assam,2019,4,TOTAL,3222143,14083346879.361855
Recharge & bill payments,assam,2019,4,TOTAL,2937800,704118873.972094
Merchant payments,assam,2019,4,TOTAL,544053,456318130.082201
Financial Services,assam,2019,4,TOTAL,9621,3492255.0860687294
Others,assam,2019,4,TOTAL,46893,34707757.009855896
Peer-to-peer payments,assam,2020,1,TOTAL,4058740,18977446151.768826
Recharge & bill payments,assam,2020,1,TOTAL,3897975,971722606.1579468
Merchant payments,assam,2020,1,TOTAL,792646,675423852.9512749
Financial Services,assam,2020,1,TOTAL,10173,7054325.507515656
Others,assam,2020,1,TOTAL,49326,36781411.34368035
Recharge & bill payments,assam,2020,2,TOTAL,6045321,1612522828.7163475
