States,Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
arunachal-pradesh,lower dibang valley,2018,4,TOTAL,6597,21188725.096378893
arunachal-pradesh,papum pare,2019,1,TOTAL,21769,56305175.15742187
arunachal-pradesh,west kameng,2019,1,TOTAL,18706,57464660.98623066
arunachal-pradesh,changlang,2019,1,TOTAL,14504,35128890.140528455
arunachal-pradesh,lohit,2019,1,TOTAL,13724,44410163.52148189
arunachal-pradesh,east siang,2019,1,TOTAL,11691,24669479.821121186
arunachal-pradesh,tawang,2019,1,TOTAL,10893,28900698.04714023
arunachal-pradesh,namsai,2019,1,TOTAL,10231,29899156.53443486
arunachal-pradesh,longding,2019,1,TOTAL,10190,28841570.71793741
arunachal-pradesh,tirap,2019,1,TOTAL,9575,24797020.736688815
arunachal-pradesh,lower dibang valley,2019,1,TOTAL,9149,26500818.398213305
arunachal-pradesh,papum pare,2019,2,TOTAL,28827,80501052.65730712
arunachal-pradesh,west kameng,2019,2,TOTAL,24040,77741634.13628484
arunachal-pradesh,lohit,2019,2,TOTAL,14906,38658949.40199398
arunachal-pradesh,changlang,2019,2,TOTAL,13929,48120977.088281885
arunachal-pradesh,east siang,2019,2,TOTAL,12970,37636424.899820864
arunachal-pradesh,tawang,2019,2,TOTAL,12562,43392107.208877556
arunachal-pradesh,namsai,2019,2,TOTAL,12214,28228154.97606074
arunachal-pradesh,west siang,2019,2,TOTAL,11232,29778429.81452021
arunachal-pradesh,tirap,2019,2,TOTAL,11076,30442992.654754497
arunachal-pradesh,longding,2019,2,TOTAL,10926,36302058.29929494
arunachal-pradesh,papum pare,2019,3,TOTAL,38560,104152420.6903958
arunachal-pradesh,west kameng,2019,3,TOTAL,32844,92522169.403638
arunachal-pradesh,changlang,2019,3,TOTAL,20744,50221808.10965951
arunachal-pradesh,lohit,2019,3,TOTAL,19591,49174022.06411387
arunachal-pradesh,tawang,2019,3,TOTAL,19201,53454221.51239009
arunachal-pradesh,east siang,2019,3,TOTAL,18759,57742402.565546624
arunachal-pradesh,namsai,2019,3,TOTAL,17253,38310432.22806125
arunachal-pradesh,west siang,2019,3,TOTAL,15882,43198540.62981644
arunachal-pradesh,tirap,2019,3,TOTAL,15645,35020210.50538105
arunachal-pradesh,longding,2019,3,TOTAL,14867,29287244.191191502
arunachal-pradesh,papum pare,2019,4,TOTAL,46210,135166318.90100121
arunachal-pradesh,west kameng,2019,4,TOTAL,38960,109780309.4691897
arunachal-pradesh,changlang,2019,4,TOTAL,25720,67044021.64216873
arunachal-pradesh,tawang,2019,4,TOTAL,25493,64172690.788512394
arunachal-pradesh,lohit,2019,4,TOTAL,23418,71137191.35286346
arunachal-pradesh,east siang,2019,4,TOTAL,22297,45950095.40587128
arunachal-pradesh,namsai,2019,4,TOTAL,22263,69716144.70739502
arunachal-pradesh,tirap,2019,4,TOTAL,21777,62382535.12190032
arunachal-pradesh,west siang,2019,4,TOTAL,18262,41638209.32032033
arunachal-pradesh,lower subansiri,2019,4,TOTAL,17833,33159442.663443036
arunachal-pradesh,papum pare,2020,1,TOTAL,53858,134164730.89583132
arunachal-pradesh,west kameng,2020,1,TOTAL,44651,118592432.50755887
arunachal-pradesh,changlang,2020,1,TOTAL,40087,114373417.73145652
arunachal-pradesh,lohit,2020,1,TOTAL,30846,73201195.2353644
arunachal-pradesh,east siang,2020,1,TOTAL,27462,65003236.302331895
arunachal-pradesh,tawang,2020,1,TOTAL,25027,68279455.36544603
arunachal-pradesh,namsai,2020,1,TOTAL,24414,66277727.27349471
arunachal-pradesh,west siang,2020,1,TOTAL,23370,55255805.31059417
arunachal-pradesh,tirap,2020,1,TOTAL,22588,54519489.86110417
arunachal-pradesh,lower subansiri,2020,1,TOTAL,22374,43679801.42383069
arunachal-pradesh,papum pare,2020,2,TOTAL,66660,161486745.43774873
arunachal-pradesh,west kameng,2020,2,TOTAL,58840,143307742.43547845
arunachal-pradesh,changlang,2020,2,TOTAL,50996,97581020.8441248
arunachal-pradesh,lohit,2020,2,TOTAL,49710,128006452.94220668
arunachal-pradesh,east siang,2020,2,TOTAL,39797,83935770.26695053
arunachal-pradesh,tawang,2020,2,TOTAL,38760,84597533.513517
arunachal-pradesh,namsai,2020,2,TOTAL,34466,94485243.39779145
arunachal-pradesh,west siang,2020,2,TOTAL,33392,72498626.74427575
arunachal-pradesh,tirap,2020,2,TOTAL,28051,69882584.56823947
arunachal-pradesh,lower dibang valley,2020,2,TOTAL,27329,80597964.5697464
arunachal-pradesh,papum pare,2020,3,TOTAL,85276,286434881.1365983
arunachal-pradesh,west kameng,2020,3,TOTAL,83578,224119989.3692662
arunachal-pradesh,changlang,2020,3,TOTAL,73373,201615153.49178126
arunachal-pradesh,east siang,2020,3,TOTAL,59485,147103673.02159554
