States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
jharkhand,2020,2,TOTAL,20141511,37486201975.923416
odisha,2020,2,TOTAL,50028576,91733036612.10583
bihar,2020,2,TOTAL,53386742,128806523628.85287
kerala,2020,2,TOTAL,16287967,25894078478.599953
karnataka,2020,2,TOTAL,213221712,321104877020.14185
chandigarh,2020,2,TOTAL,1528010,3847015729.690074
telangana,2020,2,TOTAL,152055143,321531839352.4224
himachal pradesh,2020,2,TOTAL,4695730,8036904762.544065
west bengal,2020,2,TOTAL,57676797,100099431877.35757
gujarat,2020,2,TOTAL,47420185,80387846359.49454
sikkim,2020,2,TOTAL,517731,1054618788.2612653
nagaland,2020,2,TOTAL,517566,1137674504.3478017
mizoram,2020,2,TOTAL,198462,457193433.4423174
chhattisgarh,2020,2,TOTAL,18820925,32268382206.900894
jammu & kashmir,2020,2,TOTAL,2635006,8265648939.258666
goa,2020,2,TOTAL,1482092,2183616430.016773
arunachal pradesh,2020,2,TOTAL,808774,1826716832.9849606
delhi,2020,2,TOTAL,66042018,107873438203.33162
uttarakhand,2020,2,TOTAL,9047770,16094187702.100985
puducherry,2020,3,TOTAL,1730902,3598080229.434597
tamil nadu,2020,3,TOTAL,70277825,143841415498.65747
uttar pradesh,2020,3,TOTAL,127405259,248689955423.05322
madhya pradesh,2020,3,TOTAL,108579881,205701679984.53757
andhra pradesh,2020,3,TOTAL,204902935,467084130584.93884
tripura,2020,3,TOTAL,1317885,2341819516.215885
lakshadweep,2020,3,TOTAL,8589,21306833.308656827
manipur,2020,3,TOTAL,1420168,4615976120.870485
maharashtra,2020,3,TOTAL,268310924,440307079012.4761
dadra & nagar haveli & daman & diu,2020,3,TOTAL,1138312,1749789114.9993598
meghalaya,2020,3,TOTAL,597579,1237059001.3830369
andaman & nicobar islands,2020,3,TOTAL,117483,338019446.3303601
haryana,2020,3,TOTAL,57938179,109567950445.72871
rajasthan,2020,3,TOTAL,149088676,293678306162.4698
ladakh,2020,3,TOTAL,228222,835487500.058193
punjab,2020,3,TOTAL,17209573,40123092147.81354
assam,2020,3,TOTAL,12397711,29831391259.543846
jharkhand,2020,3,TOTAL,27068473,50622615820.01348
odisha,2020,3,TOTAL,66033829,122463943804.29193
bihar,2020,3,TOTAL,71503748,173328865111.8144
kerala,2020,3,TOTAL,21758680,40164150651.95372
karnataka,2020,3,TOTAL,300360531,470740515696.6945
chandigarh,2020,3,TOTAL,2158086,5089809353.36507
telangana,2020,3,TOTAL,236372126,505961144755.88367
himachal pradesh,2020,3,TOTAL,5489876,10516054014.086905
west bengal,2020,3,TOTAL,79954504,156813355855.1383
gujarat,2020,3,TOTAL,59290179,111921752484.70932
sikkim,2020,3,TOTAL,596435,1400926728.6603994
nagaland,2020,3,TOTAL,736319,2009649143.1547942
mizoram,2020,3,TOTAL,254703,707944175.5046022
chhattisgarh,2020,3,TOTAL,24148539,41526744807.53401
jammu & kashmir,2020,3,TOTAL,3465898,11977229760.872362
goa,2020,3,TOTAL,1915531,3368343580.9446573
arunachal pradesh,2020,3,TOTAL,962827,2609938565.55822
delhi,2020,3,TOTAL,96491861,175163962804.6604
uttarakhand,2020,3,TOTAL,11818935,22103510968.006454
puducherry,2020,4,TOTAL,2716003,4930526217.671207
tamil nadu,2020,4,TOTAL,111179701,206473197500.99268
uttar pradesh,2020,4,TOTAL,178167517,357428826778.2578
madhya pradesh,2020,4,TOTAL,153652541,284275139772.3589
andhra pradesh,2020,4,TOTAL,286118552,654841546033.3186
tripura,2020,4,TOTAL,1651890,3182130996.2213116
lakshadweep,2020,4,TOTAL,11650,30111317.917080387
manipur,2020,4,TOTAL,1627852,5602224558.458768
